ID,Genre,Premise,Hypothesis,Label
FIC_034,Fiction,Kakashi luôn quan sát học trò và giúp họ vượt qua những thử thách khó khăn.,Kakashi hỗ trợ học trò của mình khi cần thiết.,0
KNO_059,Knowledge,"Mì Trung Quốc khô hoặc tươi với nhiều kích cỡ, hình dạng và kết cấu khác nhau và thường dùng kèm súp hoặc đồ ăn kèm.",Mì Trung Quốc chỉ có một hình dạng duy nhất và bắt buộc phải phơi khô.,1
SOC_176,Social,Bài hát của nhạc sĩ Trịnh Công Sơn mà tui thích nhất là bài Hạ trắng.,Các bài hát của nhạc sĩ Trịnh Công Sơn được gọi chung là nhạc Trịnh.,2
NEW_052,News,Tướng Trần Văn Trà kể về việc tìm thấy bức thư gửi những người đang sống của ba liệt sĩ thời Chiến tranh Việt Nam.,Người viết bức thư gửi những người đang sống chắc chắn đã chết.,0
NEW_155,News,"Chiếc còi hình đầu lâu của người Aztec dùng trong nghi thức hiến tế người, phát ra âm thanh đáng sợ nhất thế giới.","Chiếc còi khi được thổi, nó phát ra âm thanh giống hệt tiếng hét thất thanh của một con người, điều này làm cho người nghe cảm thấy khó chịu và nổi gai ốc.",2
FIC_130,Fiction,Ainz Ooal Gown tự xưng là Pháp sư Bất Tử tối thượng của Nazarick.,Ainz Ooal Gown coi thân phận của mình là một pháp sư bất tử.,0
SOC_267,Social,FPT chất lượng dịch vụ kém mạng chạy vòng tối ngày.,Do cá mập cắn cáp nên mạng FPT bị tắc nghẽn.,2
SOC_012,Social,Một bức ảnh du lịch được đăng kèm caption “cuối cùng cũng được nghỉ ngơi”.,Người đăng ảnh đang ở nhà và không hề đi đâu.,1
NEW_040,News,Vận động viên cử tạ Matthias Steiner đoạt huy chương vàng đầy xúc động dành tặng người vợ quá cố.,"Trước khi Matthias Steiner đoạt huy chương vàng, vợ anh đã không may qua đời.",0
KNO_142,Knowledge,Ngày Thành Nhân được tổ chức nhằm chúc mừng và động viên tất cả những vị thành niên vừa đạt đến tuổi trưởng thành.,Ngày Thành Nhân là ngày chúc mừng những trẻ em vừa trở thành người lớn.,0
KNO_118,Knowledge,Anime là thuật ngữ tiếng Nhật mô tả các loại hoạt hình vẽ bằng tay và máy tính có nguồn gốc từ Nhật Bản.,Anime được làm bằng tay và máy tính.,0
NEW_029,News,Thực hư chuyện núi Tàu ở Bình Thuận có kho báu ngàn tỷ của quân đội Nhật.,Chắc chắn ở núi Tàu của Bình Thuận có kho báu của quân Nhật.,1
FIC_104,Fiction,"Himmel, vị anh hùng dẫn đầu nhóm, luôn quan tâm đến việc giúp đỡ người khác dù là những việc nhỏ.",Himmel luôn giúp đỡ người khác khiến hành trình cả nhóm bị chậm hơn dự kiến.,2
KNO_049,Knowledge,"Triều đại Hán cai trị Trung Quốc từ 206 TCN đến 220 CN, thiết lập một bản sắc văn hóa Hán bền vững trong dân cư và tồn tại cho đến nay.",Triều đại Hán mở rộng đáng kể lãnh thổ thông qua các chiến dịch quân sự.,2
SOC_176,Social,Bài hát của nhạc sĩ Trịnh Công Sơn mà tui thích nhất là bài Hạ trắng.,Bài hát của nhạc sĩ Trịnh Công Sơn mà tui thích nhất là bài Tuổi đá buồn.,1
FIC_131,Fiction,Kanami Etou lao thẳng tới đối thủ và tung một nhát chém ngang liên tiếp trong lúc giao kiếm.,Kanami Etou chủ động tấn công bằng các đòn chém ngang.,0
FIC_071,Fiction,"Tanjiro, Zenitsu và Inosuke cùng lên chuyến tàu vô hạn để điều tra những vụ mất tích bí ẩn.",Trên chuyến tàu vô hạn có ít nhất 3 người.,0
KNO_109,Knowledge,Đại siêu thị là một dạng siêu cửa hàng kết hợp giữa một siêu thị và một cửa hàng bách hóa.,Một siêu thị kết hợp với một cửa hàng bách hóa tạo thành đại siêu thị.,0
FIC_059,Fiction,Sakura thường gặp nguy hiểm khi đối mặt với các lá bài mạnh.,Việc thu phục thẻ không phải lúc nào cũng an toàn với Sakura.,0
KNO_028,Knowledge,"Sau Thế Chiến 2, kinh tế Nhật Bản bị tàn phá kiệt quệ trong chiến tranh.","Với các chính sách phù hợp, kinh tế Nhật Bản đã nhanh chóng phục hồi.",2
SOC_053,Social,"Giá bò Kobe chính gốc đúng là trên trời, và có rất ít nơi bán mà không cần phải đặt trước ở nước ngoài.",Bò Kobe rẻ và dễ mua ở nước ngoài.,1
NEW_138,News,"Những binh lính Nga quấn khăn có nhúng nước tiểu che mặt, miệng ho ra máu vì khí độc clo, xông lên phản công quân Đức trong Thế chiến I.",Binh lính Nga ho ra máu vì nước tiểu trong khăn che mặt.,1
KNO_102,Knowledge,Trung tâm mua sắm hay thương xá là một nhóm các cửa hàng được xây dựng cùng nhau.,Trung tâm mua sắm là một cửa hàng.,1
KNO_168,Knowledge,Các tổ chức kinh doanh lô tô hoạt động theo gánh và đi lưu diễn.,Lô tô được tổ chức ở các vùng nông thôn.,2
NEW_175,News,Đùi heo muối Iberico từ những con heo chạy trong vườn sồi và món cơm chiên hải sản Paella là tinh hoa ẩm thực của Tây Ban Nha.,Đùi heo muối Iberico và cơm Paella giúp thế giới biết đến nền ẩm thực Tây Ban Nha.,0
KNO_123,Knowledge,Shinkansen là một hệ thống đường sắt cao tốc ở Nhật Bản.,Shinkansen là hệ thống đường bộ.,1
SOC_211,Social,"Hồi nhỏ tui có coi trận Brazil và Đức tại World Cup 2014, tui không hiểu tại sao mấy ông Brazil lại để thủng lưới 4 bàn chỉ trong vòng 6 phút.","Trận đó Brazil thua Đức đến 7-1 lun, đúng tỷ số không tưởng.",2
NEW_088,News,"Năm 1957, Liên Xô phóng thành công vệ tinh nhân tạo đầu tiên trên thế giới, tên là Sputnik I.",Sputnik I là vệ tinh nhân tạo đầu tiên trong lịch sử.,0
SOC_059,Social,"Bò tỉnh Hyōgo đúng kiểu “hàng gốc” duy nhất, nghe nói đạt chuẩn cao nhất mới được dán mác Kobe.",Bò Kobe hàng gốc là phải đến từ tỉnh Hyōgo.,0
KNO_069,Knowledge,"Gelatin là một prôtêin động vật dạng gel không màu, không vị, trong mờ, giòn (khi để khô) được sử dụng để làm thực phẩm.",Gelatin có thể ăn được.,0
KNO_150,Knowledge,Phô mai là thực phẩm được làm bằng cách kết đông và lên men sữa với mục đích bảo quản.,"Nguyên liệu của phô mai là sữa từ bò, cừu.",2
KNO_120,Knowledge,Rạp chiếu phim là một toà nhà có khán phòng để phục vụ mục đích xem phim giải trí.,Rạp chiếu phim có màn hình lớn.,2
SOC_273,Social,Người ta đến đông vì quán của người nổi tiếng chứ nhóm mình đông người đi mà ai cũng chê đồ ăn.,Quán đông khách vì thức ăn ngon.,1
SOC_043,Social,Mình thấy Hachi (tên thật là Kenshi Yonezu) thời còn làm Vocaloid với “Matryoshka” đúng là khác hẳn phong cách solo bây giờ.,Hachi chưa bao giờ sáng tác nhạc Vocaloid.,1
KNO_088,Knowledge,Bệnh viện là một tổ chức chăm sóc sức khỏe cung cấp điều trị bệnh nhân.,Bệnh viện làm cho sức khỏe bệnh nhân tốt hơn.,0
NEW_169,News,Người dân Đan Mạch có tục lệ đập chén dĩa cũ để tiễn biệt năm cũ và chào đón năm mới.,Ném cà chua và chửi lộn là phong tục truyền thống vào dịp năm mới ở Đan Mạch.,1
SOC_229,Social,"Nếu xét về món canh quốc dân, thì theo tui, Hàn Quốc có canh tương đậu, Nhật Bản có canh miso, còn Việt Nam có canh chua.",Nhật Bản có món canh sườn heo là món canh quốc dân.,1
NEW_004,News,"Năm 2015, thế giới chết lặng với bức ảnh cậu bé Syria nằm chết trên bờ biển Thổ Nhĩ Kỳ.",Bức ảnh cậu bé Syria nằm chết trên bờ biển gây rúng động toàn thế giới.,0
NEW_080,News,"Đức và Liên Xô giằng co ác liệt tại thành phố Stalingrad, với Đức hiện đang mất lợi thế.",Liên Xô tước quyền chủ động từ tay Đức tại mặt trận Stalingrad khốc liệt.,0
KNO_113,Knowledge,"Joseph Maurice Ravel là một nhà soạn nhạc, nghệ sĩ dương cầm và nhạc trưởng người Pháp.",Joseph Maurice Ravel là người am hiểu âm nhạc.,0
KNO_178,Knowledge,Thịt heo chiêu xù kiểu Nhật ra đời vào cuối thế kỷ 19 và là một món ăn phổ biến tại Nhật.,Thịt heo chiên xù ra đời trước năm 1900.,0
KNO_051,Knowledge,Cảnh quan Trung Quốc đa dạng thay đổi từ những thảo nguyên rừng cùng các sa mạc Gobi và Taklamakan ở phía bắc khô hạn đến các khu rừng cận nhiệt đới ở phía nam.,Sa mạc khô hạn chiếm toàn bộ diện tích Trung Quốc.,1
SOC_043,Social,Mình thấy Hachi (tên thật là Kenshi Yonezu) thời còn làm Vocaloid với “Matryoshka” đúng là khác hẳn phong cách solo bây giờ.,“Matryoshka” là bài hát Vocaloid có nhiều phiên bản cover khác nhau.,2
FIC_114,Fiction,Fern thể hiện khả năng chiến đấu vượt trội so với nhiều pháp sư trẻ khác trong quá trình thi.,Fern sử dụng một loại trượng phép thuật khá hiếm trong kỳ thi.,2
KNO_138,Knowledge,Lễ Tạ ơn là lễ hội mừng thu hoạch được mùa và tạ ơn Thiên Chúa đã giúp cho cuộc sống no đủ và an lành.,Lễ Tạ ơn kỷ niệm mùa màng bội thu.,0
SOC_185,Social,"Giọng của chú Vân Sơn làm giảm độ đê tiện của anh Châu Tinh Trì, chứ bản gốc Hồng Kông thì đê tiện rặt lun.",Châu Tinh Trì không đê tiện.,1
SOC_030,Social,"Văn Hoá Nhật Bản là văn hoá dễ nhận biết nhất trên toàn thế giới, và Bộ Văn Hoá và Truyền Thông Nhật Bản muốn giữ vững điều đó.","Văn hoá Nhật Bản không chỉ bao gồm Anime mà còn là về âm nhạc, Shinto giáo và lễ hội.",2
KNO_035,Knowledge,"Với hơn 5.000 năm, nền văn minh Trung Hoa phát triển mạnh, đặc trưng bởi hệ thống tư tưởng - triết học có ảnh hưởng lớn với các quốc gia láng giềng.",Nền văn minh Trung Hoa vì phát triển không thuận lợi mà sớm diệt vong.,1
NEW_106,News,"Sân vận động Azteca, thánh địa bóng đá nơi chứng kiến màn đăng quang World Cup của hai huyền thoại Pele và Maradona.",Pele và Maradona đều giành chức vô địch World Cup trên sân vận động Azteca.,0
KNO_006,Knowledge,"Đại Hàn Dân Quốc, gọi tắt là Hàn Quốc, là một quốc gia ở Đông Á.",Tên gọi đầy đủ của Hàn Quốc là Đại Hàn Dân Quốc.,0
FIC_117,Fiction,Một số thí sinh thất bại không phải vì thiếu sức mạnh phép thuật mà do không hiểu rõ bản chất của bài kiểm tra.,Tất cả thí sinh trượt đều do năng lực phép thuật quá yếu.,1
SOC_257,Social,Yotsakon là một chân sút nguy hiểm với 7 bàn thắng trong mùa giải.,Yotsakon là một cầu thủ yếu.,1
NEW_179,News,"Tuyến tàu Stoosbahn dốc nhất thế giới của Thuỵ Sĩ, đạt độ nghiêng lên tới 47,7 độ, dẫn vào ngôi làng không ô tô trên núi.",Tuyến này xuất phát từ một nhà ga thung lũng gần thành phố Schwyz đến khu nghỉ dưỡng trên núi tại làng Stoos.,2
NEW_048,News,Nhật Bản xây dựng chuỗi cung ứng đất hiếm không phụ thuộc vào Trung Quốc.,Nhật Bản lệ thuộc vào Trung Quốc thì không liên quan đến đất hiếm.,1
SOC_017,Social,Một tài khoản đăng story ngắn mỗi ngày nhưng hiếm khi đăng bài viết.,Người này thường xuyên đăng bài viết dài.,1
FIC_143,Fiction,Kaito Onogi giữ thân người thẳng và ánh mắt tập trung vào bia trong giai đoạn kéo căng cung (kai).,Kaito duy trì tư thế ổn định và tập trung khi kéo cung.,0
NEW_139,News,"Oresol, loại nước bù đắp chất điện giải, cứu sống 50 triệu người mỗi năm và đẩy lùi dịch tả.","Oresol là loại nước bao gồm 2 phần muối và 10 phần đường, cùng với các nguyên tố vi lượng như Kali, Magie,...",2
FIC_141,Fiction,"Minato Narumiya đứng yên trong tư thế đặt chân (ashibumi), điều hòa nhịp thở trước khi kéo cung.",Minato bắn tên ngay lập tức mà không hề chuẩn bị tư thế.,1
SOC_239,Social,Vào được đại học Tokyo thì quá đơn giản.,Đại học Tokyo (Todai) là đại học quốc lập đầu tiên và lâu đời nhất Nhật Bản.,2
KNO_014,Knowledge,Hàn Quốc là thị trường mà phim nội địa được ưu tiên trước các sản phẩm của Hollywood.,Người Hàn Quốc chọn xem phim do Mỹ sản xuất thay vì phim Hàn Quốc.,1
KNO_059,Knowledge,"Mì Trung Quốc khô hoặc tươi với nhiều kích cỡ, hình dạng và kết cấu khác nhau và thường dùng kèm súp hoặc đồ ăn kèm.","Mì có thể được phục vụ nóng hoặc lạnh với các loại topping khác nhau, với nước dùng và đôi khi khô.",2
NEW_077,News,"Người đàn ông Pháp bật khóc khi thấy đoàn quân Đức Quốc xã diễu hành tại Paris, cuối tháng 6 năm 1940.",Người đàn ông Pháp cười khoái chí khi thấy lính Đức Quốc xã diễu binh tại Paris.,1
FIC_090,Fiction,Trận chiến tại phố đèn đỏ kết thúc với sự hi sinh lớn và chiến thắng đầy khó khăn của các kiếm sĩ.,Không có sự hi sinh nào xảy ra.,1
NEW_013,News,"Năm 2011, Nhật Bản hứng chịu thảm hoạ kép động đất - sóng thần kinh hoàng nhất lịch sử tại vùng Tohoku.",Chưa có trận động đất nào ở Nhật Bản vượt qua thảm hoạ kép năm 2011 về thiệt hại và thương vong.,0
KNO_065,Knowledge,"Ngũ cốc được lưu trữ để phòng trừ nạn đói và lũ lụt và thịt được bảo quản bằng muối, giấm, phơi khô hoặc cho lên men.","Nếu có nạn đói hoặc lũ lụt, ngũ cốc đã lưu trữ có thể mang ra để ăn.",0
SOC_053,Social,"Giá bò Kobe chính gốc đúng là trên trời, và có rất ít nơi bán mà không cần phải đặt trước ở nước ngoài.",Một số nhà hàng chỉ phục vụ Kobe theo suất nhỏ.,2
FIC_010,Fiction,"Taki và Mitsuha gặp lại nhau nhiều năm sau, dù cả hai chỉ mơ hồ nhớ về nhau.",Taki và Mitsuha gặp nhau sau một khoảng thời gian.,0
KNO_123,Knowledge,Shinkansen là một hệ thống đường sắt cao tốc ở Nhật Bản.,Đi trên Shinkansen có tốc độ ngang bằng đi trên máy bay.,2
SOC_202,Social,Những ai mà lên được Trạm Vũ trụ Quốc tế đều có thể trạng cực kỳ tuyệt vời.,Ai cũng có thể lên được Trạm Vũ trụ Quốc tế.,1
NEW_137,News,"Những gói thuốc kháng sinh Sulfonamide diệt vi khuẩn và mềm bệnh ở miệng vết thương, cứu sống vô số binh lính trong Thế chiến II.",Sulfonamide là thuốc kháng sinh cứu sống nhiều binh sĩ trong chiến tranh.,0
FIC_135,Fiction,Toji lùi nửa bước để né mũi kiếm rồi phản đòn bằng nhát chém chéo.,Toji tiến thẳng lên mà không hề né tránh.,1
NEW_108,News,"Bong bóng kinh tế sụp đổ, dẫn đến cuộc khủng hoảng của Nhật Bản trong thập niên 1990, còn được gọi là thập niên mất mát.","Trong thập niên mất mát, rất nhiều công ty phá sản, giới trẻ mất định hướng tương lai, tỷ lệ tự tử tăng vọt.",2
FIC_116,Fiction,Các giám khảo của kỳ thi đều là những pháp sư hạng nhất có kinh nghiệm dày dạn.,Các giám khảo chủ yếu là pháp sư tập sự mới vào nghề.,1
KNO_142,Knowledge,Ngày Thành Nhân được tổ chức nhằm chúc mừng và động viên tất cả những vị thành niên vừa đạt đến tuổi trưởng thành.,Ngày Thành Nhân là một sự kiện nhắc nhở những người hai mươi tuổi rằng họ đã trở thành một người lớn.,2
SOC_189,Social,"Tui thấy Kindaichi hay hơn Conan rất nhiều, vì các vụ án của Kindaichi luôn rùng rợn và nhiều thủ thuật tinh vi.","Vì Kindaichi lấy cảm hứng từ ông nội nó là thám tử kỳ tài Kindaichi Kosuke mà. Mấy vụ án của ông nội nó cũng ly kỳ lắm, nhất là vụ án gia đình Inugami.",2
FIC_074,Fiction,Tanjiro rơi vào giấc mơ nơi gia đình đã mất của cậu vẫn còn sống và hạnh phúc.,Gia đình của Tanjiro vẫn còn sống.,1
FIC_092,Fiction,Thế giới Disboard trong No Game No Life là nơi mọi xung đột giữa các chủng tộc đều chỉ được giải quyết thông qua trò chơi thay vì bạo lực.,Trò chơi là cách duy nhất để giải quyết xung đột giữa các chủng tộc.,0
SOC_223,Social,"Tui hay cắn ớt mỗi khi ăn mì gói hay ăn mấy món nước, vì nó kích thích vị giác giúp ăn ngon hơn.",Muốn ăn mấy món nước ngon hơn thì đừng có cắn ớt.,1
SOC_057,Social,"Bò Ōmi nghe ít người nhắc hơn nhưng ăn rồi mới thấy vị thịt đậm, không chỉ toàn mỡ như mình tưởng.",Bò Ōmi có lịch sử chăn nuôi lâu đời ở Nhật.,2
NEW_117,News,"Năm 2004, các nước giáp Ấn Độ Dương như Thái Lan, Indonesia, Sri Lanka hứng chịu thảm hoạ động đất - sóng thần khủng khiếp nhất lịch sử.","Thái Lan, Indonesia và Sri Lanka là các quốc gia tiếp giáp với Ấn Độ Dương.",0
FIC_021,Fiction,Lucy phát hiện ra một thế giới mới mang tên Narnia khi bước qua cánh tủ áo.,Lucy đã đến một thế giới khác.,0
KNO_152,Knowledge,"Mai vàng là cây lâu năm, có thể sống trên một trăm năm.","Gốc Mai vàng to rễ lồi lõm, thân xù xì, cành nhánh nhiều, lá mọc xen.",2
FIC_151,Fiction,"Alex, xuất thân từ một gia đình làm nghề ngư dân lâu đời, bỗng một ngày nhận được lời mời nhập học vào Học Viện Hiệp Sĩ.",Alex được mời nhập học Học Viện Hoàng Gia Anh.,1
NEW_051,News,Hoa Kỳ tiến hành Cuộc chiến chống khủng bố sau vụ khủng bố đẫm máu ngày 11 tháng 9 năm 2001.,Vụ khủng bố ngày 11 tháng 9 năm 2001 xảy ra tại Trung Quốc.,1
FIC_051,Fiction,Sakura đã thu phục được lá bài Clow đầu tiên của mình.,Sakura bắt đầu hành trình thu thập thẻ bài từ đây.,0
NEW_070,News,"Ngày thứ ba đen tối năm 1929, thị trường chứng khoán phố Wall sụp đổ, trực tiếp dẫn đến thời kỳ Đại khủng hoảng.",Thời kỳ Đại khủng hoảng bắt nguồn từ sự sụp đổ của thị trường chứng khoán phố Wall.,0
NEW_158,News,Điệu Tango quyến rũ và thịt bò nướng Asado đã đồng hành cùng đội tuyển Argentina và tạo nên phong cách chơi bóng đầy nhiệt huyết.,Argentina chơi bóng theo phong cách của những vũ công Samba.,1
FIC_018,Fiction,Ron lo lắng về các kỳ thi ở Hogwarts vì cậu thường gặp khó khăn với một số môn học.,Ron luôn tự tin tuyệt đối và chưa bao giờ sợ kỳ thi.,1
FIC_003,Fiction,Aragorn dẫn những kỵ sĩ Rohan vào trận chiến tại Helm’s Deep và cùng nhau chống lại quân của Saruman.,Aragorn tham gia vào trận chiến tại Helm's Deep.,0
FIC_115,Fiction,Luật của kỳ thi cho phép các thí sinh loại bỏ lẫn nhau nếu đáp ứng đúng điều kiện được đặt ra.,Các thí sinh có thể khiến người khác bị loại nếu tuân thủ luật thi.,0
FIC_018,Fiction,Ron lo lắng về các kỳ thi ở Hogwarts vì cậu thường gặp khó khăn với một số môn học.,Ron đang gặp áp lực với việc học ở Hogwarts.,0
FIC_149,Fiction,Huấn luyện viên Masaki Takigawa yêu cầu Minato giữ tâm trí bình tĩnh trước khi bắn.,Masaki nhấn mạnh tầm quan trọng của trạng thái tinh thần khi bắn cung.,0
NEW_173,News,"Đế chế La Mã khai sinh ra thế giới phương Tây hiện đại, để lại câu nói: ""Mọi con đường đều dẫn đến thành Rome"".","Đế chế La Mã trải rộng từ đảo Anh đến tận Lưỡng Hà của Trung Đông, tạo nên đặc điểm chung về văn hoá, chính trị, xã hội của các nước phương Tây.",2
KNO_127,Knowledge,Cáp Nhĩ Tân là một trong những điểm nổi tiếng về văn hóa băng tuyết trên thế giới.,Cáp Nhĩ Tân là điểm nổi tiếng duy nhất về băng tuyết trên thế giới.,1
FIC_167,Fiction,"Alex và Charles ngay lập tức mang Bella, người đã mất khả năng chiến đấu, đến phòng y tế gặp cô Celio để chữa trị vết thương.",Một mình Alex mang Bella đến phòng y tế.,1
SOC_207,Social,Có nhiều đứa bị ba má tát cho một trận vì nghịch ngu đập bể cái nhiệt kế rồi định rờ vô thuỷ ngân đang chảy ra.,Có thuỷ ngân nằm bên trong nhiệt kế.,0
NEW_178,News,Điệu nhảy Riverdance truyền thống của Ireland đạt kỷ lục Guinness với màn trình diễn của hơn 1600 vũ công dọc bờ sông Liffey của thủ đô Dublin.,Dublin là thủ đô của Vương quốc Anh.,1
KNO_032,Knowledge,"Trung Quốc là quốc gia đơn đảng do Đảng Cộng sản nắm quyền, chính phủ trung ương đặt tại thủ đô Bắc Kinh.",Trung quốc là quốc gia đa đảng và các đảng phái đối đầu gây gắt.,1
NEW_111,News,"Năm 1997, công nương nước Anh, Diana qua đời trong vụ tai nạn ô tô ở hầm đường bộ của Paris, thủ đô nước Pháp.",Tài xế lái chiếc xe limousine chở Công nương Diana vào đêm xảy ra tai nạn được cho là say rượu.,2
NEW_003,News,Hy Lạp từ quốc gia vỡ nợ trở thành một trong những nền kinh tế phát triển nhất châu Âu.,Hy Lạp đã từng là quốc gia vỡ nợ.,0
NEW_057,News,"Lời nguyền Tecumseh mang tên thủ lĩnh người bản địa, đã gieo rắt nỗi ám ảnh cho các đời Tổng thống Hoa Kỳ.",Lời nguyền Tecumseh không liên quan gì đến các đời Tổng thống Hoa Kỳ.,1
FIC_034,Fiction,Kakashi luôn quan sát học trò và giúp họ vượt qua những thử thách khó khăn.,Kakashi thường đến muộn khi hẹn.,2
NEW_022,News,"Mái vòm Chernobyl bị UAV đánh hỏng, IAEA cảnh báo nguy cơ rò rỉ phóng xạ.",Mái vòm che lò phản ứng số 4 của nhà máy Chernobyl để ngăn chặn lượng bức xạ chết người trong 100 năm.,2
SOC_226,Social,"Trước khi có món ramen trứ danh với sợi mì nhỏ, dài và dai thì món mì udon với sợi mì to và mềm đã làm ấm bụng của nhiều thế hệ người Nhật.",Mì ramen và mì udon ra đời cùng thời điểm.,1
FIC_042,Fiction,Pikachu thường xuyên hỗ trợ Ash trong các trận đấu Pokémon.,Pikachu giúp Ash khi chiến đấu.,0
FIC_016,Fiction,Harry phát hiện mình là phù thủy và được mời nhập học tại Hogwarts.- một trường dành cho phù thuỷ.,Harry từng tò mò về nguồn gốc gia đình mình.,2
NEW_131,News,"Vào thập niên 1920-1930, ánh đèn neon trở thành biểu tượng cho sự hoa lệ của các thành phố New York, Las Vegas, Los Angeles.",Không có ánh đèn neon thì các thành phố lớn như New York sẽ thiếu đi sự hoa lệ.,0
SOC_273,Social,Người ta đến đông vì quán của người nổi tiếng chứ nhóm mình đông người đi mà ai cũng chê đồ ăn.,Ngoài thức ăn thì giá của món ăn cũng không hợp lý.,2
KNO_110,Knowledge,Siêu thị là từ được dịch ra từ các thuật ngữ nước ngoài.,Siêu thị là từ có nguồn gốc từ nước ngoài.,0
NEW_110,News,"Cảnh sát Nhật Bản tổng tấn công vào tất cả các trụ sở của tà giáo Aum Shinrikyo, bắt sống kẻ cầm đầu Asahara Shoko.",Asahara Shoko là giáo chủ của tà giáo Aum Shinrikyo.,0
NEW_073,News,"Nhật Bản tấn công vũ bão vào Trung Quốc, Nam Kinh, Thượng Hải, Bắc Kinh, Vũ Hán đồng loạt thất thủ.",Trung Quốc chịu nhục nhã to lớn khi các thành phố đông dân lần lượt rơi vào tay quân Nhật.,2
SOC_058,Social,"Thật ra mình thấy Wagyu ngoài Nhật ăn vẫn ngon, nhưng so với Kobe thì vẫn thiếu cái gì đó.",Wagyu ngoài Nhật có chất lượng khác so với Kobe.,0
SOC_245,Social,Ớt ngâm giấm là một nguyên liệu mà Khoai thấy rất thú vị ở Thái Lan.,Ớt ngâm giấm vừa có hương vị chưa vừa có hương vị cay nồng của ớt.,2
NEW_169,News,Người dân Đan Mạch có tục lệ đập chén dĩa cũ để tiễn biệt năm cũ và chào đón năm mới.,"Người Đan Mạch vào năm mới sẽ mang theo chén đĩa, đồ sành sứ đã cũ, không dùng đến đập vỡ trước cửa nhà bạn bè.",2
SOC_028,Social,"Rock Nhật Bản chính là dòng nhạc đặt Nhật Bản đứng top 1 Châu Á, là dòng nhạc đứng thứ 2 thế giới sau nhạc Âu-Mỹ.",Nhạc Âu-Mỹ đứng số 1 thế giới.,0
KNO_085,Knowledge,Đà Nẵng là một thành phố có nhu cầu tuyển dụng nhân sự cao.,"Ngoài để du lịch, các thanh niên cũng đến Đà Nẵng để tìm việc làm.",0
KNO_037,Knowledge,"Sau khi tiến hành cải cách kinh tế theo hướng mở cửa vào năm 1978, nền kinh kế Trung Quốc với quy mô dân số khổng lồ đã tăng trưởng nhanh chóng.",Cải cách kinh tế theo hướng mở cửa và quy mô dân số khổng lồ là hai nguyên nhân khiến kinh tế Trung Quốc phát triển.,0
SOC_021,Social,"Sau bao nhiêu năm chờ đợi, tập cuối của Naruto cuối cùng cũng đã được công chiếu.",Naruto không có tập cuối.,1
FIC_003,Fiction,Aragorn dẫn những kỵ sĩ Rohan vào trận chiến tại Helm’s Deep và cùng nhau chống lại quân của Saruman.,Aragorn không có mặt tại Helm's Deep.,1
